date,symbol,open,high,low,close,adj_close,volume,ret
2022-09-01,HDFCBANK.NS,732.375,744.7249755859375,729.5,736.0750122070312,692.3845825195312,22403136,
2022-09-02,HDFCBANK.NS,736.0750122070312,745.25,732.5999755859375,742.75,698.6633911132812,12038086,0.00906838302335089
2022-09-05,HDFCBANK.NS,743.0499877929688,749.5,742.0499877929688,747.5250244140625,703.1549682617188,12131932,0.006428814226662638
2022-09-06,HDFCBANK.NS,749.4500122070312,753.3250122070312,743.2249755859375,744.6749877929688,700.47412109375,12238696,-0.0038125979179185476
2022-09-07,HDFCBANK.NS,735.6500244140625,745.0,735.6500244140625,741.1500244140625,697.1583862304688,9776206,-0.0047335579765658276
2022-09-08,HDFCBANK.NS,745.0499877929688,750.0,741.0750122070312,748.7999877929688,704.354248046875,11164690,0.010321703014022798
2022-09-09,HDFCBANK.NS,748.0999755859375,754.5,747.0250244140625,749.2999877929688,704.8246459960938,15128888,0.0006678428511266432
2022-09-12,HDFCBANK.NS,750.0,752.0,745.0,746.7750244140625,702.4495239257812,11080492,-0.0033698056442902358
2022-09-13,HDFCBANK.NS,749.4500122070312,757.9500122070312,749.2750244140625,756.5499877929688,711.6442260742188,13001966,0.013089484490004466
2022-09-14,HDFCBANK.NS,747.0250244140625,769.4500122070312,746.1749877929688,764.3250122070312,718.957763671875,20219760,0.01027695768432113
2022-09-15,HDFCBANK.NS,765.0,770.4749755859375,756.0,760.3499755859375,715.21875,13539372,-0.005200602679048982
2022-09-16,HDFCBANK.NS,751.5499877929688,757.3499755859375,741.5,746.375,702.0731811523438,20560046,-0.018379787788919466
2022-09-19,HDFCBANK.NS,744.5,757.0,740.0,751.2999877929688,706.7059326171875,12076038,0.006598673171420488
2022-09-20,HDFCBANK.NS,757.0,762.0,754.9500122070312,760.3499755859375,715.21875,10781668,0.012045770369135678
2022-09-21,HDFCBANK.NS,754.0,760.75,752.5,759.1749877929688,714.1134643554688,9072304,-0.001545381248088451
